aX,aY,aZ,gX,gY,gZ
0.525,-0.915,-0.079,-16.785,20.569,-1.770
0.615,-1.091,-0.123,-6.409,23.987,-4.150
0.630,-1.131,-0.146,14.160,30.945,-1.709
0.618,-1.131,-0.201,20.874,31.250,2.380
0.606,-1.110,-0.221,19.958,25.085,13.794
0.570,-1.041,-0.222,15.930,21.118,19.531
0.546,-0.990,-0.215,11.414,17.578,24.231
0.523,-0.934,-0.206,1.709,12.268,29.663
0.478,-0.828,-0.199,-1.038,11.108,30.762
0.454,-0.780,-0.197,-3.601,11.230,29.724
0.421,-0.716,-0.201,-3.601,12.634,27.832
0.409,-0.704,-0.211,-4.517,14.587,25.818
0.404,-0.710,-0.220,-7.751,18.066,21.118
0.425,-0.776,-0.227,-6.653,20.203,18.616
0.448,-0.819,-0.226,-9.705,26.672,14.099
0.484,-0.876,-0.221,-14.465,30.640,12.085
0.489,-0.886,-0.221,-18.799,38.330,9.766
0.478,-0.882,-0.226,-15.442,41.565,9.583
0.469,-0.870,-0.231,-11.230,43.457,9.644
0.461,-0.850,-0.229,-14.709,40.222,10.010
0.443,-0.796,-0.186,-20.264,35.950,9.521
0.437,-0.768,-0.161,-21.851,26.489,5.127
0.426,-0.719,-0.132,-19.836,21.667,2.258
0.423,-0.703,-0.120,-12.939,12.024,-3.967
0.429,-0.699,-0.119,-5.676,7.568,-7.690
0.434,-0.712,-0.125,0.488,2.686,-10.803
0.443,-0.739,-0.129,6.042,-9.216,-14.282
0.479,-0.819,-0.137,9.155,-15.137,-15.015
0.496,-0.861,-0.144,12.085,-24.048,-14.648
0.529,-0.946,-0.141,11.230,-26.672,-13.916
0.543,-0.986,-0.140,14.282,-26.550,-12.634
0.556,-1.029,-0.153,12.390,-25.330,-11.414
0.557,-1.023,-0.147,5.493,-23.865,-9.460
0.554,-0.999,-0.135,-6.287,-19.165,-5.188
0.534,-0.920,-0.121,-9.216,-16.724,-3.662
0.521,-0.874,-0.111,-17.090,-12.756,-1.465
0.500,-0.804,-0.088,-19.470,-10.498,-1.404
0.493,-0.786,-0.087,-19.165,-5.554,-3.845
0.492,-0.786,-0.109,-18.616,-3.296,-5.859
0.501,-0.804,-0.120,-19.409,-1.221,-7.935
0.533,-0.856,-0.116,-23.987,3.723,-11.230
0.548,-0.881,-0.115,-23.193,7.324,-12.268
0.556,-0.902,-0.126,-18.005,14.648,-12.329
0.562,-0.924,-0.143,-19.226,16.479,-10.864
0.564,-0.925,-0.141,-21.301,17.273,-6.165
0.553,-0.915,-0.132,-20.081,16.479,-3.906
0.543,-0.906,-0.129,-19.348,15.320,-1.099
0.515,-0.876,-0.122,-17.456,16.052,-0.671
0.497,-0.858,-0.121,-15.686,16.968,-0.610
0.481,-0.840,-0.120,-19.531,18.188,-1.038
