aX,aY,aZ,gX,gY,gZ
-0.225,0.552,-0.641,-24.475,-27.466,43.945
-0.236,0.564,-0.630,-11.353,-20.569,33.997
-0.247,0.619,-0.601,-3.784,-16.968,29.236
-0.245,0.664,-0.566,13.550,-10.681,19.287
-0.230,0.754,-0.475,18.677,-7.690,14.465
-0.217,0.788,-0.440,17.761,0.122,5.554
-0.187,0.855,-0.401,17.273,5.859,1.160
-0.178,0.895,-0.392,19.104,12.634,-2.808
-0.177,0.935,-0.391,22.766,25.574,-10.986
-0.179,1.012,-0.412,20.569,30.212,-15.259
-0.186,1.045,-0.418,13.306,36.743,-24.658
-0.181,1.083,-0.422,8.667,39.063,-29.907
-0.169,1.095,-0.430,1.892,41.016,-34.302
-0.164,1.118,-0.443,-9.583,48.279,-40.100
-0.191,1.201,-0.466,-11.230,55.542,-43.396
-0.216,1.239,-0.498,-18.372,75.134,-54.749
-0.269,1.275,-0.639,-25.146,85.388,-63.049
-0.290,1.287,-0.725,-35.400,103.027,-84.595
-0.315,1.295,-0.879,-39.795,110.779,-97.473
-0.325,1.264,-0.969,-45.532,118.469,-112.000
-0.339,1.205,-1.068,-50.598,133.362,-143.677
-0.375,1.106,-1.264,-47.668,141.296,-159.363
-0.380,1.062,-1.362,-41.931,154.297,-194.641
-0.352,0.927,-1.547,-39.368,157.898,-215.515
-0.332,0.835,-1.635,-33.875,159.607,-261.780
-0.311,0.608,-1.796,-34.729,157.776,-287.720
-0.296,0.445,-1.888,-36.377,154.114,-316.162
-0.287,-0.051,-2.183,-32.349,148.071,-379.272
-0.302,-0.370,-2.365,-18.372,144.714,-412.964
-0.324,-0.751,-2.550,27.527,117.920,-487.305
-0.328,-1.844,-2.906,50.842,83.374,-531.128
-0.290,-2.522,-2.979,127.136,-48.889,-612.244
-0.164,-3.861,-2.677,191.040,-135.437,-628.784
-0.043,-4.000,-2.299,319.153,-308.289,-576.904
0.138,-4.000,-1.138,357.910,-402.466,-500.549
0.202,-3.985,-0.350,379.028,-504.028,-389.954
0.309,-3.983,0.600,396.851,-660.644,-95.154
0.323,-4.000,2.661,394.592,-679.504,69.763
0.076,-4.000,3.462,343.628,-617.981,345.337
-0.517,-4.000,4.000,295.654,-555.176,431.702
-0.809,-4.000,4.000,257.507,-462.158,487.610
-1.101,-4.000,4.000,287.842,-190.918,547.180
-1.688,-4.000,3.989,318.542,-72.815,571.533
-2.022,-4.000,3.995,290.222,8.728,649.780
-2.642,-3.950,3.779,248.718,-1.587,696.350
-2.924,-3.719,3.526,179.260,-38.391,774.170
-3.318,-2.761,3.165,150.391,-53.955,792.419
-3.424,-2.204,3.192,125.916,-59.998,786.316
-3.402,-1.693,3.267,100.464,-19.043,697.510
-3.144,-1.071,3.177,82.336,26.245,635.742
-3.044,-0.839,2.964,62.317,124.634,533.447
